date_month,eae_compensation_percentage
2016-10-01,0.6
2016-11-01,0.6
2016-12-01,0.6
2017-01-01,0.6
2017-02-01,0.6
2017-03-01,0.6
2017-04-01,0.6
2017-05-01,0.6
2017-06-01,0.6
2017-07-01,0.6
2017-08-01,0.6
2017-09-01,0.6
2017-10-01,0.6
2017-11-01,0.6
2017-12-01,0.6
2018-01-01,0.2527262459
2018-02-01,0.7030990723
2018-03-01,0.4090231491
2018-04-01,0.4611257457
2018-05-01,0.4057426243
2018-06-01,0.5392261122
2018-07-01,0.5030230141
2018-08-01,0.3696608221
2018-09-01,0.4367692299
2018-10-01,0.4019806942
2018-11-01,0.3048109925
2018-12-01,0.3354213246