date_month,cost_ae_ramp,cost_eae_ramp
2016-10-01,20,30
2016-11-01,3203,4805
2016-12-01,4204,6305
2017-01-01,0,6384
2017-02-01,0,21869
2017-03-01,0,0
2017-04-01,0,0
2017-05-01,0,0
2017-06-01,0,0
2017-07-01,0,0
2017-08-01,0,0
2017-09-01,10833.32,0
2017-10-01,10833.32,0
2017-11-01,16249.98,0
2017-12-01,16249.98,0
2018-01-01,22176.35,0
2018-02-01,26577.33,0
2018-03-01,17992.3,7361.21
2018-04-01,20833.34,8041.66
2018-05-01,15416.68,14580.14
2018-06-01,10929.49,19291.66
2018-07-01,3333.5,17509
2018-08-01,8898.84,14291.55
2018-09-01,15248.49,19441.42
2018-10-01,22291.64,6299.88
2018-11-01,22584.55,0
2018-12-01,22962.81,0
2019-01-01,17114.98,0
2019-02-01,18391.34,0
2019-03-01,8301.28,0
2019-04-01,11666.66,0